Artist,Title,Lyrics
Nirvana,Polly,"Polly wants a cracker  
I think I should get off her first  
I think she wants some water  
To put out the blow torch  
  
It isn't me  
We have some seed  
Let me clip  
Your dirty wings  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself  
I've got some rope  
You have been told  
I promise you  
I have been true  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself  
  
Polly wants a cracker  
Maybe she would like some food  
She asks me to untie her  
A chase would be nice for a few  
  
It isn't me  
We have some seed  
Let me clip  
Your dirty wings  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself  
I've got some rope  
You have been told  
I promise you  
I have been true  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself  
  
Polly said  
  
Polly says her back hurts  
And she's just as bored as me  
She caught me off my guard  
It amazes me, the will of instinct  
  
It isn't me  
We have some seed  
Let me clip  
Your dirty wings  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself  
I've got some rope  
You have been told  
I promise you  
I have been true  
Let me take a ride  
Don't cut yourself  
I want some help  
To please myself

"
Beautiful South,"You Play Glockenspiel, I'll Play Drums","There's a boy with a brace across his teeth  
White socks, tattooed underneath  
Bus tickets chitched up in his palm  
Stood there he's spinning a yarn  
There's a girl with a plastic pair of shoes  
Two eyes permanently bruised  
Can't find the time to be alarmed  
Just stood spinning a yarn  
Just take your time  
It'll work out fine  
It'll do no harm  
To spin your yarn  
You do English  
I'll do sums  
You break fingers  
I'll break thumbs  
You play Dads  
And I'll play Mums  
You play Glockenspiel  
And I'll play drums  
My name is Derek from the den  
I deal in shillings and in pence  
I'll get you any deal you like  
Ten sweets for a mountain bike you like  
My name is Mandy from the yard  
I deal in crazy tarot cards  
I'll tell you what the future brings  
One cat and a dog that sings  
You do English  
I'll do sums  
You break fingers  
I'll break thumbs  
You play Dads  
And I'll play Mums  
You play Glockenspiel  
And I'll play drums  
Just take your time  
It'll work out fine  
It'll do no harm  
To spin your yarn  
You do English  
I'll do sums  
You break fingers  
I'll break thumbs  
You play Dads  
And I'll play Mums  
You play Glockenspiel  
And I'll play drums

"
Miley Cyrus,Que Sera!,"Ha  
Whatever will be,  
Will be  
  
Delete me from your friends,  
I don't care what you think,  
Let's forget we ever met,  
Don't cha worry 'bout me,  
  
So I'm sick to my stomach,  
When I'm think about the wasted time we spend togeth,  
Planning on forever,  
(Whatever)  
  
Cheat me once, shame on you,  
Cheat me twice, shame on me  
I'm an idiot,  
That I couldn't see what's underneath  
  
That beautiful face  
Or these warm or worse days  
Surprise, surprise  
I'm doing just fine  
(Whoa)  
  
Aaaah  
QUE SERA, SERA  
Aaaah  
QUE SERA, SERA  
  
Whatever comes I'll be okay  
Whatever life Throws my way  
You wish I'd hurt,  
But I'm as free as a bird  
And I'm happier no-ow-ow-ow,  
(Yeah)  
  
Aaaah  
QUE SERA  
  
I could never go back  
To a thing that didn't last  
And I'm sorry to say  
That you're living in the past  
  
And if you'd ever believe  
I would take you back,  
It took you long to get in  
But now you're out so fast  
  
The way you played your cards  
Shoulda told me who you are  
Always goin' all in  
And you hated when I win  
  
Just had me whipped too far  
I shoulda known from the start  
That you gamble,  
  
With my heart  
  
  
Aaaah  
QUE SERA, SERA  
Aaaah  
QUE SERA, SERA  
  
Whatever comes I'll be okay  
Whatever life throws my way  
You wish I'd hurt,  
But I'm as free as a bird  
And I'm happier no-ow-ow-ow  
  
Whoo,  
Ha Ha  
  
Ooooh I feel it in the air  
(Feel it in the air baby)  
Ooooh, there's something better out there  
Ooooh, Hello to the new me  
Ooooh So goodbye baby,  
(Goodbye)  
  
I could never go back  
To a thing that didn't last  
And I'm sorry to say,  
That you're living in the past  
  
And if you'd ever believe  
I would take you back  
It took you long to get in  
But now you're out so fast  
  
The way you played your cards  
Shoulda told me who you are  
Always goin' in all in  
And you hated when I win  
  
Just had me whipped too far  
I shoulda known from the start  
That you gamble,  
  
With my heart  
  
Aaaah  
QUE SERA, SERA  
Aaaah  
QUE SERA, SERA  
Whatever comes I'll be okay  
Whatever life throws my way  
You wish I'd hurt,  
But I'm as free as a bird  
And I'm happier no-ow-ow-ow  
(Whoo)  
  
Aaaah  
QUE SERA, SERA  
Aaaah  
QUE SERA!

"
Ray Charles,Carry Me Back To Old Virginny,"Carry me back to old Virginny,  
There's where the cotton and the corn and taters grow,  
There's where the birds warble sweet in the spring time,  
There's where the darkey's heart am longed to go.  
  
There's where I labored so hard for old massa,  
Day after day in the field of yellow corn,  
No place on earth do I love more sincerely,  
Than old Virginny, the state where I was born.  
  
Carry me back to old Virginny,  
There let me live 'till I wither and decay,  
Long by the old Dismal Swamp have I wandered,  
There's where this old darkies' life am passed away.  
  
Massa and misses, have long gone before me,  
Soon we will meet on that bright and golden shore.  
There we'll be happy and free from all sorrow,  
There's where we'll meet and we'll never part no more.  
  
Carry me back to old Virginny,  
There's where the cotton and the corn and tators grow,  
There's where the birds warble sweet in the spring time,  
There's where the old darkies' heart am longed to go.

"
U2,Fast Cars,"My cell is ringing  
No ID  
I need to know who's calling  
  
My garden's overgrown  
I go out on my belly crawling  
I got CCTV, pornography, CNBC  
I got the nightly news  
To get to know the enemy  
  
All I want is a picture of you  
All I want is to get right next to you  
All I want is your face in a locket  
Picture in my pocket  
I take a pill to stop it  
  
I know these fast cars  
Will do me no good  
  
I'm going nowhere  
Where I am it is a lot of fun  
There in the desert to dismantle an atomic bomb  
I watch you shadow box  
Check the stocks  
I'm in detox  
I want the lot of what you've got  
What you've got can make this stop  
  
All I want is a picture of you  
All I want is to get right next to you  
All I want is your picture in a locket  
Your face in my pocket  
Take a pill to stop it  
  
I know these fast cars  
Will do me no good  
  
Child inside  
  
Don't you worry 'bout your mind  
Don't you worry 'bout your mind  
Don't you worry 'bout your mind  
Don't you worry 'bout your mind  
  
You should worry 'bout the day  
That the pain it goes away  
You know I miss mine sometimes  
  
The size is much too big  
  
There is no fiction  
That will truly fit the situation  
I'm documenting every detail  
Every conversation  
Not used to talkin' to somebody in the body  
Somebody in a body,  
Somebody in a body

"
Norah Jones,4 Broken Hearts,"Ooh, ooh ooh  
  
People can't be hand-made  
But he keeps slaving away  
At a stone that's too hard to break  
A girl who's too lost to save  
  
So you tried to replace me  
But you didn't get far  
And I tried to repay you  
But I only got scarred  
  
Ooh, ooh ooh  
  
She'll be breaking your fall  
And I'll be building new walls  
But this time I'll have to make sure  
To add a window for you to come back  
  
And we tried to be faithful  
But didn't get far  
Now all we'll be left with is four broken hearts  
I tried to erase you  
But didn't get get far enough away from you  
Because you still can break my heart  
  
Ooh, ooh ooh  
Ooh, ooh ooh  
Ooh, ooh ooh

"
Johnny Cash,Blistered,"I've got great big blisters on my bloodshot  
Eyes from looking at that long legged woman up ahead  
What she does simply walking down the sidewalk of the city  
Makes me think about a stray cat getting fed  
  
he's got a whole lotta motion in her sole, I know  
But her sole ain't the place she lets it show  
  
She got a body, oh yeah, she got a motion, oh yeah  
Lord I'm blistered, oh, oh yeah  
She done tore my sole apart, put big blisters on my heart  
What a mighty crazy cooking way to go  
  
I've got great big blisters on my fingertips  
From reaching in my pocket book and picking out the bills  
And I got tiny white blisters in my throat  
From trying to ease my nervous tension taking all them pat and pills  
  
And ever since she started running around from bar to bar  
I just can't eat a bite or keep my stomach settled down  
  
She got a body, oh yeah, she got a motion, oh yeah  
She done got me, oh yeah  
She done tore my sole apart, put big blisters on my heart  
What a mighty crazy cooking way to go  
  
She got a body, oh yeah, she got a motion, oh yeah  
Oh I'm blistered, oh, oh yeah  
Oh, oh, oh, oh, oh, oh yeah  
Blistered, blistered

"
The White Stripes,Party Of Special Things To Do,"When the stiff wind blows  
The flag don't wiggle  
In the party of special things to do  
I met the ace of love  
She took me to her plantation  
For the love without separation  
In the party of special things to do  
It could happen to me  
It could happen to you  
I met the ace of love  
She said I want you to go  
To the party of special things to do  
And when you're through  
I'll be right here waiting for you  
Here take these sparks  
So my distant cousins can get along with you  
Watch out for the mirror man  
And Elixir Sue  
When I got to the party of special things to do  
It wasn't hard to find Elixir Sue  
I met all the cards  
The wild cards  
The one-eye Jill  
The red queen  
She turned her head  
You know what I mean  
She turned it back and said  
""I got a brand new game I want to lay on you""  
I met them all  
At the party of special things to do  
When I was done  
I was far from through  
I returned to the ace of love  
Now wouldn't you?  
I met them all  
The camel wore a nightie  
The camel wore a nightie  
At the party of special things to do  
Elixir Sue  
It wasn't hard to find liquor at the do  
I met all the cards  
The wild cards  
You know what I mean  
Then she turned it back and said  
""I got a brand new game I think I want to lay on you""  
I met elixir Sue  
At the party of special things to do  
It's so special

"
Marianne Faithfull,Ghost Dance,"What is it children that falls from the sky?  
Tayi, taya, tayi, aye ya.  
Mannah from Heaven from most high,  
Food from the Father, tayi, taye ya.  
  
We shall live again, we shall live again,  
We shall live again, shake out the grief.  
  
Peace to your brother, give and take heed,  
Tayi, taya, it left two feet.  
One foot extended, snake to the ground,  
Wave of the Earth, one turn around.  
  
We shall live again, we shall live again,  
We shall live again,shake out the grief, babe.  
  
Stretch out your arms now dip and sway,  
Fruit of thy bird, tayi, taya.  
Threw off your shoe, haul off the sow,  
Dust off the words that shape from the tale.  
  
We shall live again, we shall live again,  
We shall live again, shake out the ghost dance.  
  
Here we are, Father, here, Holy Ghost,  
Bread of your bread, host of your host.  
We are the tears that fall from your eyes,  
Word of your word, cry of your cry.  
  
We shall live again, we shall live again.  
We shall live again, we shall live.  
  
What is it, Father, in your eye,  
What is this grave sign, eyes to cry.  
Blood of my baby, well, just what I need.  
What is it, hide me, way off to speed.  
  
Who is it, Father, holy that night?  
What is it, Father, that moves to the right?  
What is it, Father, isn't it pain?  
What is it, Father, that shapes from your main?  
  
What is it, Father, supposed to be brave?  
A lot of questions, the right to live  
What is it, baby, I can't do.  
Your mama loves you, I'm dying, too.  
  
I won't forget you, never lie  
I'll always love you till I die

"
Status Quo,Accident Prone,"I'm a lay-by lover  
And you're just another  
Who just wants to hit and run  
Now your on your own  
'Cause I'm accident prone  
And I hope that you have your fun  
  
They say the devil loves his own  
And lady you just got the roll  
He drives you modus-operandi  
Well lady you don't get this soul  
What you call love I can't take no more  
Go knock on someone else's door  
  
I'm a lay-by lover  
And you're just another  
Who just wants to hit and run  
Now your on your own  
'Cause I'm accident prone  
And I hope that you have your fun  
  
'Cause you specialise your own kind of lies  
Lady you just hit and run  
I just want to say you keep driving that way  
And one day you will be undone  
  
I try to love you my way  
But lady you just wouldn't slow down  
You drove a right on through me  
When other guys came around  
What you call love wouldn't give to a stray  
I wouldn't treat a dog that way  
  
I'm a lay-by lover  
And you're just another  
Who just wants to hit and run  
Now your on your own  
''cause I'm accident prone  
And I hope that you have your fun  
  
'Cause you specialise your own kind of lies  
Lady you just hit and run  
I just want to say you keep driving that way  
And one day you will be undone  
  
One day you'll have to slow down  
And lady it could be too late  
You keep on acceleratin'  
And lady I could see your fate  
No-one wants a second-hand car  
They know it been push too far  
  
I'm a lay-by lover  
And you're just another  
Who just wants to hit and run  
Now your on your own  
'Cause I'm accident prone  
And I hope that you have your fun  
  
'Cause you specialise your own kind of lies  
Lady you just hit and run  
You're draggin'me down with this riding around  
And one day you will be undone  
  
I'm a lay-by lover  
And you're just another  
Who just wants to hit and run  
Now your on your own  
'Cause I'm accident prone  
And I hope that you have your fun

"
